;datetime;person
0;2020-04-17 12:01:08.463179;artem
1;2020-04-17 12:01:23.743946;artem
2;2020-04-17 12:27:30.646665;artem
3;2020-04-17 12:35:44.884757;artem
4;2020-04-17 12:35:52.735016;artem
5;2020-04-17 12:36:21.401412;oksana
6;2020-04-17 12:36:22.023355;oksana
7;2020-04-17 13:55:19.129243;artem
8;2020-04-17 15:00:33.138530;artem
9;2020-04-17 15:14:09.581054;artem
10;2020-04-17 22:46:26.785035;vladislav
11;2020-04-18 00:30:45.051569;artem
12;2020-04-18 10:53:52.623447;konstantin
13;2020-04-18 10:56:55.833899;maxim
14;2020-04-18 10:57:37.331258;konstantin
15;2020-04-18 11:02:42.796521;artem
16;2020-04-18 12:05:48.200144;maxim
17;2020-04-18 12:06:13.237290;maxim
18;2020-04-18 12:06:35.574114;maxim
19;2020-04-18 12:19:50.182714;ekaterina
20;2020-04-18 12:49:16.684426;artem
21;2020-04-18 17:45:27.234821;artem
22;2020-04-18 18:14:53.813657;konstantin
23;2020-04-18 18:20:05.419381;konstantin
24;2020-04-18 18:20:32.196892;konstantin
25;2020-04-18 18:20:37.860671;konstantin
26;2020-04-18 18:24:59.632526;konstantin
27;2020-04-18 18:50:15.409435;konstantin
28;2020-04-18 19:20:27.487265;artem
29;2020-04-18 21:01:33.970629;konstantin
30;2020-04-18 21:06:16.842414;konstantin
31;2020-04-18 21:14:43.989325;konstantin
32;2020-04-18 21:33:35.285278;konstantin
33;2020-04-18 21:36:38.965506;konstantin
34;2020-04-18 21:46:57.879404;konstantin
35;2020-04-18 21:47:27.939041;konstantin
36;2020-04-18 21:58:49.438700;konstantin
37;2020-04-18 22:38:29.435265;konstantin
38;2020-04-18 23:06:34.198911;konstantin
39;2020-04-18 23:40:32.666884;artem
40;2020-04-19 00:17:22.720860;konstantin
41;2020-04-19 00:17:28.624573;konstantin
42;2020-04-19 00:43:03.766276;konstantin
43;2020-04-19 00:44:18.631684;konstantin
44;2020-04-19 01:30:14.261893;konstantin
45;2020-04-19 01:32:00.584633;konstantin
46;2020-04-19 03:23:35.471598;konstantin
47;2020-04-19 03:23:55.473926;konstantin
48;2020-04-19 03:33:07.757714;konstantin
49;2020-04-19 10:48:18.715956;konstantin
50;2020-04-19 11:15:55.042662;artem
51;2020-04-19 13:05:53.139270;konstantin
52;2020-04-19 13:09:11.157680;konstantin
53;2020-04-19 13:09:52.639481;konstantin
54;2020-04-19 13:10:30.652264;konstantin
55;2020-04-19 16:06:37.162352;artem
56;2020-04-19 17:19:37.850143;konstantin
57;2020-04-19 18:04:06.516230;artem
58;2020-04-19 21:32:51.815108;artem
59;2020-04-19 23:10:03.761243;artem
60;2020-04-20 00:08:17.652510;artem
61;2020-04-20 22:11:59.664315;artem
62;2020-04-21 11:02:44.545611;artem
63;2020-04-21 19:04:25.970852;maxim
64;2020-04-21 20:14:31.802111;artem
65;2020-04-21 20:14:34.656007;artem
66;2020-04-21 20:30:38.034966;maxim
67;2020-04-21 20:38:02.865051;artem
68;2020-04-21 22:07:24.866598;artem
69;2020-04-21 22:28:35.420477;konstantin
70;2020-04-22 10:45:25.601360;aleksey
71;2020-04-22 11:07:51.370397;aleksey
72;2020-04-22 15:21:51.907607;artem
73;2020-04-22 16:56:12.848579;artem
74;2020-04-22 19:22:40.931046;artem
75;2020-04-22 22:40:36.824081;nikolay
76;2020-04-22 23:32:56.096106;artem
77;2020-04-22 23:46:37.937105;artem
78;2020-04-23 01:43:46.508018;nikolay
79;2020-04-23 01:43:49.885078;nikolay
80;2020-04-23 11:31:42.599737;artem
81;2020-04-23 17:09:23.207865;artem
82;2020-04-23 18:58:54.114823;konstantin
83;2020-04-23 18:58:55.826644;konstantin
84;2020-04-23 18:59:20.330875;konstantin
85;2020-04-23 19:02:27.738957;artem
86;2020-04-23 22:57:50.383225;artem
87;2020-04-24 00:31:07.463947;artem
88;2020-04-24 09:42:47.598208;artem
89;2020-04-24 11:57:55.851961;artem
90;2020-04-24 11:58:07.723661;artem
91;2020-04-24 13:54:08.211864;artem
92;2020-04-24 22:26:37.905707;artem
93;2020-04-25 11:41:03.201654;ekaterina
94;2020-04-26 16:20:11.492246;artem
95;2020-04-26 18:11:53.804713;maxim
96;2020-04-26 21:53:59.624136;alexander
97;2020-04-26 22:06:19.478143;alexander
98;2020-04-26 22:12:09.614497;alexander
99;2020-04-26 22:13:11.447703;nikolay
100;2020-04-26 22:31:45.755878;artem
101;2020-04-26 22:49:29.243278;maxim
102;2020-04-26 23:08:42.282553;maxim
103;2020-04-26 23:17:39.909301;maxim
104;2020-04-26 23:41:18.281836;artem
105;2020-04-27 10:22:42.105617;artem
106;2020-04-27 13:49:13.036173;artem
107;2020-04-28 19:09:01.362373;no-reply
108;2020-04-28 19:09:27.328084;oksana
109;2020-04-28 19:09:28.006771;oksana
110;2020-04-28 19:19:43.942895;oksana
111;2020-04-28 19:19:45.352651;oksana
112;2020-04-28 23:07:20.698279;konstantin
113;2020-04-28 23:09:12.179207;konstantin
114;2020-04-29 10:41:11.110921;konstantin
115;2020-04-29 10:41:17.882561;konstantin
116;2020-04-29 13:20:32.401990;oksana
117;2020-04-29 13:20:33.759963;oksana
118;2020-04-29 13:44:51.538536;oksana
119;2020-04-29 13:44:52.790940;oksana
120;2020-04-29 16:51:21.877630;vladislav
121;2020-04-29 16:51:36.397066;artem
122;2020-04-29 18:53:34.570761;konstantin
123;2020-04-29 19:42:12.692595;oksana
124;2020-04-29 19:42:13.266750;oksana
125;2020-04-29 21:49:48.676812;artem
126;2020-04-29 23:48:14.208828;artem
127;2020-04-30 09:06:01.439895;konstantin
128;2020-04-30 12:15:25.075338;konstantin
129;2020-04-30 12:47:16.278173;konstantin
130;2020-04-30 13:58:02.545268;artem
131;2020-04-30 14:32:41.943379;konstantin
132;2020-04-30 14:32:57.079409;konstantin
133;2020-04-30 14:33:25.377507;konstantin
134;2020-04-30 15:00:18.929267;maxim
135;2020-04-30 16:15:29.506808;konstantin
136;2020-04-30 19:04:34.184401;artem
137;2020-04-30 19:29:01.831635;alexander
138;2020-04-30 22:19:28.002640;artem
139;2020-05-01 11:02:12.343448;artem
140;2020-05-01 15:36:34.327319;nikolay
141;2020-05-01 15:36:41.033597;nikolay
142;2020-05-01 18:41:17.601397;nikolay
143;2020-05-01 23:39:04.518273;artem
144;2020-05-02 10:33:38.502810;konstantin
145;2020-05-02 10:34:18.380508;konstantin
146;2020-05-02 10:34:57.121338;konstantin
147;2020-05-02 10:35:26.150913;konstantin
148;2020-05-02 10:38:43.053090;konstantin
149;2020-05-02 13:21:34.579038;maxim
150;2020-05-03 11:11:08.046018;konstantin
151;2020-05-03 11:11:42.932144;konstantin
152;2020-05-03 11:54:39.683837;konstantin
153;2020-05-03 11:54:56.265527;konstantin
154;2020-05-03 11:55:06.633369;konstantin
155;2020-05-03 11:55:14.557949;konstantin
156;2020-05-03 11:55:20.663606;konstantin
157;2020-05-03 11:55:31.223293;konstantin
158;2020-05-03 11:55:35.103035;konstantin
159;2020-05-03 11:55:36.443992;konstantin
160;2020-05-03 11:56:00.321973;konstantin
161;2020-05-03 11:56:19.603859;konstantin
162;2020-05-03 11:56:42.563839;konstantin
163;2020-05-03 13:38:27.590921;konstantin
164;2020-05-03 13:38:52.496163;konstantin
165;2020-05-03 21:37:47.919445;konstantin
166;2020-05-03 21:53:38.241169;nikolay
167;2020-05-03 23:02:58.174142;maxim
168;2020-05-03 23:14:54.165462;maxim
169;2020-05-04 14:31:38.856162;ekaterina
170;2020-05-04 19:43:35.988972;artem
171;2020-05-05 20:26:32.894852;alexander
172;2020-05-06 00:38:00.562420;konstantin
173;2020-05-06 00:38:57.672657;konstantin
174;2020-05-06 21:57:12.352220;konstantin
175;2020-05-07 12:38:24.792196;konstantin
176;2020-05-07 15:56:04.833584;artem
177;2020-05-07 18:51:12.029577;alexander
178;2020-05-08 10:53:47.123832;anatoliy
179;2020-05-08 11:55:39.274168;konstantin
180;2020-05-08 12:33:02.440199;anatoliy
181;2020-05-08 15:29:46.025589;artem
182;2020-05-08 18:44:41.645975;anatoliy
183;2020-05-08 19:51:56.401401;anatoliy
184;2020-05-08 19:52:06.119989;anatoliy
185;2020-05-08 19:53:28.937471;anatoliy
186;2020-05-08 20:04:57.443877;anatoliy
187;2020-05-08 20:05:00.090490;anatoliy
188;2020-05-08 20:05:13.939508;anatoliy
189;2020-05-08 20:05:23.305261;anatoliy
190;2020-05-08 20:05:37.807530;anatoliy
191;2020-05-08 20:06:09.798781;anatoliy
192;2020-05-08 20:06:12.200280;anatoliy
193;2020-05-08 20:07:39.054781;anatoliy
194;2020-05-08 20:07:42.113656;anatoliy
195;2020-05-08 20:08:32.971644;anatoliy
196;2020-05-08 20:22:20.338313;anatoliy
197;2020-05-08 20:40:09.458037;anatoliy
198;2020-05-08 20:40:11.765174;anatoliy
199;2020-05-08 20:41:29.315172;anatoliy
200;2020-05-08 20:41:33.149673;anatoliy
201;2020-05-08 20:42:30.158334;anatoliy
202;2020-05-08 20:43:43.793707;anatoliy
203;2020-05-08 20:49:18.117838;anatoliy
204;2020-05-08 21:02:16.868785;anatoliy
205;2020-05-08 21:02:19.211062;anatoliy
206;2020-05-08 21:02:22.271979;anatoliy
207;2020-05-08 21:02:27.651755;anatoliy
208;2020-05-08 21:02:33.272013;anatoliy
209;2020-05-08 21:03:00.767602;anatoliy
210;2020-05-08 21:59:30.456216;anatoliy
211;2020-05-08 21:59:41.998245;anatoliy
212;2020-05-08 22:03:42.928807;anatoliy
213;2020-05-08 22:03:51.463919;anatoliy
214;2020-05-08 22:04:57.462199;anatoliy
215;2020-05-08 22:04:59.524818;anatoliy
216;2020-05-08 22:06:02.870053;anatoliy
217;2020-05-08 22:06:06.404130;anatoliy
218;2020-05-08 22:06:10.206799;anatoliy
219;2020-05-08 22:06:14.989799;anatoliy
220;2020-05-08 22:06:18.229368;anatoliy
221;2020-05-08 22:06:24.865972;anatoliy
222;2020-05-08 22:10:30.609460;anatoliy
223;2020-05-08 22:10:33.539519;anatoliy
224;2020-05-08 22:10:38.901341;anatoliy
225;2020-05-08 22:10:43.470973;anatoliy
226;2020-05-08 22:10:48.655566;anatoliy
227;2020-05-08 23:29:12.208030;artem
228;2020-05-09 09:43:06.212562;anatoliy
229;2020-05-09 10:56:59.161519;konstantin
230;2020-05-09 13:43:07.772099;artem
231;2020-05-09 16:40:08.754428;anatoliy
232;2020-05-09 17:48:06.873140;anatoliy
233;2020-05-09 17:48:16.356564;anatoliy
234;2020-05-09 17:49:34.972160;anatoliy
235;2020-05-09 17:49:59.034945;konstantin
236;2020-05-09 17:50:05.107143;konstantin
237;2020-05-09 17:50:10.186035;konstantin
238;2020-05-09 17:50:15.273406;konstantin
239;2020-05-09 17:50:49.661389;anatoliy
240;2020-05-09 17:50:57.675543;anatoliy
241;2020-05-09 17:51:15.290876;anatoliy
242;2020-05-09 18:26:31.866636;anatoliy
243;2020-05-09 20:21:34.867684;anatoliy
244;2020-05-09 20:21:38.924627;anatoliy
245;2020-05-09 20:30:47.034282;vladislav
246;2020-05-09 23:53:55.599821;anatoliy
247;2020-05-09 23:54:54.260791;pavel
248;2020-05-10 00:13:42.216836;konstantin
249;2020-05-10 00:14:05.765256;konstantin
250;2020-05-10 00:17:03.110482;pavel
251;2020-05-10 00:17:14.304271;pavel
252;2020-05-10 00:25:19.062084;konstantin
253;2020-05-10 00:25:41.252557;pavel
254;2020-05-10 00:25:43.134669;konstantin
255;2020-05-10 00:27:11.011497;pavel
256;2020-05-10 00:31:49.337810;pavel
257;2020-05-10 00:31:52.675228;pavel
258;2020-05-10 00:31:57.224599;pavel
259;2020-05-10 00:42:46.485025;pavel
260;2020-05-10 00:51:22.692446;konstantin
261;2020-05-10 00:56:43.797923;konstantin
262;2020-05-10 00:56:47.646246;konstantin
263;2020-05-10 01:10:32.409346;pavel
264;2020-05-10 01:10:38.746413;pavel
265;2020-05-10 01:13:12.478146;pavel
266;2020-05-10 01:13:16.894736;pavel
267;2020-05-10 01:13:22.272125;pavel
268;2020-05-10 01:13:46.947838;konstantin
269;2020-05-10 01:13:50.827350;konstantin
270;2020-05-10 01:13:54.322409;konstantin
271;2020-05-10 01:14:58.747475;pavel
272;2020-05-10 01:15:03.425465;pavel
273;2020-05-10 01:15:06.044037;pavel
274;2020-05-10 01:15:11.422971;pavel
275;2020-05-10 01:16:44.264272;pavel
276;2020-05-10 01:16:46.986629;pavel
277;2020-05-10 01:16:50.190107;pavel
278;2020-05-10 01:17:43.921623;pavel
279;2020-05-10 01:17:48.279211;pavel
280;2020-05-10 01:17:51.813791;pavel
281;2020-05-10 01:19:03.150784;pavel
282;2020-05-10 01:19:05.534495;pavel
283;2020-05-10 01:19:07.959108;pavel
284;2020-05-10 01:19:10.022891;pavel
285;2020-05-10 01:22:52.024114;pavel
286;2020-05-10 01:26:31.011056;konstantin
287;2020-05-10 01:26:46.106306;pavel
288;2020-05-10 01:26:52.205761;pavel
289;2020-05-10 01:28:55.202696;pavel
290;2020-05-10 01:29:00.562990;pavel
291;2020-05-10 01:29:03.914597;pavel
292;2020-05-10 01:29:08.880411;pavel
293;2020-05-10 01:30:28.860191;pavel
294;2020-05-10 01:30:35.834496;pavel
295;2020-05-10 01:30:38.741412;konstantin
296;2020-05-10 01:30:45.202624;konstantin
297;2020-05-10 01:30:47.150204;konstantin
298;2020-05-10 01:30:49.285091;konstantin
299;2020-05-10 01:30:53.686263;konstantin
300;2020-05-10 01:30:58.024185;konstantin
301;2020-05-10 01:35:50.836028;konstantin
302;2020-05-10 01:39:20.521800;pavel
303;2020-05-10 01:46:32.686772;konstantin
304;2020-05-10 01:46:50.524508;konstantin
305;2020-05-10 01:47:06.741491;konstantin
306;2020-05-10 01:50:52.867948;konstantin
307;2020-05-10 01:50:55.510693;konstantin
308;2020-05-10 01:50:58.464695;konstantin
309;2020-05-10 01:51:13.900542;konstantin
310;2020-05-10 01:54:12.912076;konstantin
311;2020-05-10 01:54:40.783564;konstantin
312;2020-05-10 02:15:45.523919;konstantin
313;2020-05-10 04:08:53.496691;konstantin
314;2020-05-10 04:09:13.217556;konstantin
315;2020-05-10 04:09:36.095652;konstantin
316;2020-05-10 04:31:14.776688;konstantin
317;2020-05-10 04:31:41.164007;konstantin
318;2020-05-10 11:31:27.370177;konstantin
319;2020-05-10 11:56:16.795755;konstantin
320;2020-05-10 12:24:43.560301;konstantin
321;2020-05-10 12:27:38.956559;konstantin
322;2020-05-10 18:06:08.797709;artem
323;2020-05-10 18:31:56.552227;konstantin
324;2020-05-10 18:36:01.362021;konstantin
325;2020-05-10 18:36:05.193459;konstantin
326;2020-05-10 18:49:03.674379;anatoliy
327;2020-05-10 18:49:12.193282;anatoliy
328;2020-05-10 18:49:14.530603;anatoliy
329;2020-05-10 18:49:19.950108;anatoliy
330;2020-05-10 18:49:23.523689;anatoliy
331;2020-05-10 19:32:32.684838;konstantin
332;2020-05-10 19:48:50.488076;pavel
333;2020-05-10 20:54:37.239011;anatoliy
334;2020-05-10 20:54:43.384645;anatoliy
335;2020-05-10 20:54:46.479248;anatoliy
336;2020-05-10 20:54:52.423604;anatoliy
337;2020-05-10 20:55:01.611763;anatoliy
338;2020-05-10 20:55:10.105278;anatoliy
339;2020-05-10 20:55:14.344287;anatoliy
340;2020-05-10 20:55:25.856498;anatoliy
341;2020-05-10 20:55:29.710438;anatoliy
342;2020-05-10 20:56:12.914896;anatoliy
343;2020-05-10 20:58:04.038189;anatoliy
344;2020-05-10 21:07:50.350946;valentina
345;2020-05-10 21:24:28.491170;valentina
346;2020-05-10 22:10:23.905698;anatoliy
347;2020-05-10 22:10:27.209516;anatoliy
348;2020-05-10 22:10:29.481428;anatoliy
349;2020-05-10 22:40:22.291617;pavel
350;2020-05-10 22:40:36.775712;pavel
351;2020-05-10 22:40:56.751672;pavel
352;2020-05-10 22:41:35.459563;pavel
353;2020-05-10 22:42:10.851562;pavel
354;2020-05-10 22:42:17.234460;pavel
355;2020-05-10 22:42:20.976978;pavel
356;2020-05-10 22:42:47.689910;valentina
357;2020-05-10 22:44:00.071652;pavel
358;2020-05-10 22:44:09.393239;valentina
359;2020-05-11 01:04:51.425036;pavel
360;2020-05-11 01:04:58.268566;pavel
361;2020-05-11 10:55:04.335091;maxim
362;2020-05-11 11:12:26.903732;maxim
363;2020-05-11 11:20:32.750952;konstantin
364;2020-05-11 11:22:21.614275;anatoliy
365;2020-05-11 15:39:38.220003;anatoliy
366;2020-05-11 15:39:57.277993;anatoliy
367;2020-05-11 15:39:59.431350;anatoliy
368;2020-05-11 15:40:01.264372;anatoliy
369;2020-05-11 15:40:03.180944;anatoliy
370;2020-05-11 15:40:05.749912;anatoliy
371;2020-05-11 15:40:07.301023;anatoliy
372;2020-05-11 15:40:11.163468;anatoliy
373;2020-05-11 15:40:15.703240;anatoliy
374;2020-05-11 15:44:13.086030;anatoliy
375;2020-05-11 15:45:56.419327;anatoliy
376;2020-05-11 15:46:00.116088;anatoliy
377;2020-05-11 15:46:07.958291;anatoliy
378;2020-05-11 15:46:14.814452;anatoliy
379;2020-05-11 15:46:22.457882;anatoliy
380;2020-05-11 15:46:38.104112;anatoliy
381;2020-05-11 15:46:58.955715;anatoliy
382;2020-05-11 16:02:16.638119;artem
383;2020-05-11 16:54:32.791909;pavel
384;2020-05-11 16:54:51.407866;pavel
385;2020-05-11 17:16:29.140525;pavel
386;2020-05-11 17:16:32.764539;pavel
387;2020-05-11 17:16:36.314721;pavel
388;2020-05-11 17:16:40.405535;pavel
389;2020-05-11 17:16:58.519642;pavel
390;2020-05-11 17:17:16.347818;pavel
391;2020-05-11 17:17:36.974877;pavel
392;2020-05-11 17:18:04.201056;pavel
393;2020-05-11 18:55:11.969027;valentina
394;2020-05-11 19:47:20.288269;oksana
395;2020-05-11 19:47:20.910596;oksana
396;2020-05-11 20:12:31.201969;konstantin
397;2020-05-11 20:46:32.301105;artem
398;2020-05-11 20:52:43.616221;pavel
399;2020-05-11 21:14:35.116210;anatoliy
400;2020-05-11 21:14:42.738456;anatoliy
401;2020-05-11 21:14:45.541924;anatoliy
402;2020-05-11 21:14:48.613045;anatoliy
403;2020-05-11 21:14:52.099218;anatoliy
404;2020-05-11 21:14:55.320486;anatoliy
405;2020-05-11 21:14:59.016472;anatoliy
406;2020-05-11 21:15:02.007049;anatoliy
407;2020-05-11 21:15:06.198863;anatoliy
408;2020-05-11 21:17:35.611423;anatoliy
409;2020-05-11 21:19:42.935648;anatoliy
410;2020-05-11 21:21:24.652313;anatoliy
411;2020-05-11 21:22:35.751338;anatoliy
412;2020-05-11 21:22:40.269370;anatoliy
413;2020-05-11 21:22:44.333164;anatoliy
414;2020-05-11 21:22:50.888844;anatoliy
415;2020-05-11 21:22:56.080866;anatoliy
416;2020-05-11 21:24:16.274631;anatoliy
417;2020-05-11 21:24:22.985826;anatoliy
418;2020-05-11 21:24:35.546710;anatoliy
419;2020-05-11 21:24:39.404283;anatoliy
420;2020-05-11 21:24:43.135173;anatoliy
421;2020-05-11 21:24:50.223516;anatoliy
422;2020-05-11 21:24:53.784697;anatoliy
423;2020-05-11 21:25:00.906904;anatoliy
424;2020-05-11 21:29:16.612384;anatoliy
425;2020-05-11 21:29:19.603769;anatoliy
426;2020-05-11 21:29:25.307061;anatoliy
427;2020-05-11 21:29:28.359208;anatoliy
428;2020-05-11 21:29:32.523610;anatoliy
429;2020-05-11 21:29:39.878790;anatoliy
430;2020-05-11 21:29:44.548150;anatoliy
431;2020-05-11 21:29:47.494250;anatoliy
432;2020-05-11 21:29:50.938741;anatoliy
433;2020-05-11 21:29:56.905612;anatoliy
434;2020-05-11 21:30:50.696861;anatoliy
435;2020-05-11 21:30:54.909431;anatoliy
436;2020-05-11 21:31:03.396024;anatoliy
437;2020-05-11 21:31:08.778207;anatoliy
438;2020-05-11 21:31:11.193442;anatoliy
439;2020-05-11 21:31:17.422038;anatoliy
440;2020-05-11 21:31:19.746121;anatoliy
441;2020-05-11 21:31:23.104927;anatoliy
442;2020-05-11 21:31:27.146688;anatoliy
443;2020-05-11 21:31:29.945684;anatoliy
444;2020-05-11 21:31:34.253541;anatoliy
445;2020-05-11 21:31:37.346619;anatoliy
446;2020-05-11 21:31:40.606367;anatoliy
447;2020-05-11 21:31:43.381113;anatoliy
448;2020-05-11 21:31:49.839770;anatoliy
449;2020-05-11 21:31:52.771765;anatoliy
450;2020-05-11 21:31:54.985647;anatoliy
451;2020-05-11 21:31:59.582632;anatoliy
452;2020-05-11 21:32:06.184549;anatoliy
453;2020-05-11 21:32:14.013151;anatoliy
454;2020-05-11 21:33:32.349175;anatoliy
455;2020-05-11 21:33:38.661508;anatoliy
456;2020-05-11 21:33:42.105589;anatoliy
457;2020-05-11 21:33:52.724271;anatoliy
458;2020-05-11 21:33:54.462416;anatoliy
459;2020-05-11 21:33:56.279880;anatoliy
460;2020-05-11 21:34:17.145592;anatoliy
461;2020-05-11 21:34:19.896218;anatoliy
462;2020-05-11 21:34:33.988848;anatoliy
463;2020-05-11 21:34:36.226110;anatoliy
464;2020-05-11 21:34:46.581178;anatoliy
465;2020-05-11 21:34:49.606976;anatoliy
466;2020-05-11 21:35:05.226668;anatoliy
467;2020-05-11 21:35:09.634478;anatoliy
468;2020-05-11 21:35:19.475050;anatoliy
469;2020-05-11 21:41:11.912309;anatoliy
470;2020-05-11 21:56:54.292312;alexander
471;2020-05-11 21:59:29.696441;valentina
472;2020-05-11 22:21:54.065450;anatoliy
473;2020-05-11 22:22:33.307603;anatoliy
474;2020-05-11 22:22:35.582633;anatoliy
475;2020-05-11 22:22:37.514651;anatoliy
476;2020-05-11 22:22:48.236030;anatoliy
477;2020-05-11 22:22:51.838868;anatoliy
478;2020-05-11 22:22:56.392107;anatoliy
479;2020-05-11 22:23:02.067221;anatoliy
480;2020-05-11 22:23:06.357445;anatoliy
481;2020-05-11 22:23:09.390967;anatoliy
482;2020-05-11 22:23:14.070783;anatoliy
483;2020-05-11 22:23:17.613389;anatoliy
484;2020-05-11 22:23:21.075637;anatoliy
485;2020-05-11 22:23:25.207882;anatoliy
486;2020-05-11 22:23:29.036656;anatoliy
487;2020-05-11 22:23:33.195366;anatoliy
488;2020-05-11 22:23:35.404808;anatoliy
489;2020-05-11 22:23:41.626123;anatoliy
490;2020-05-11 22:23:44.654688;anatoliy
491;2020-05-11 22:23:49.968923;anatoliy
492;2020-05-11 22:26:35.035113;anatoliy
493;2020-05-11 22:26:49.542371;anatoliy
494;2020-05-11 22:26:54.267731;anatoliy
495;2020-05-11 22:26:59.454136;anatoliy
496;2020-05-11 22:27:02.930135;anatoliy
497;2020-05-11 22:27:07.986025;anatoliy
498;2020-05-11 22:27:11.826953;anatoliy
499;2020-05-11 22:27:16.194329;anatoliy
500;2020-05-11 22:27:42.702588;anatoliy
501;2020-05-11 22:27:48.248973;anatoliy
502;2020-05-11 22:29:30.707480;anatoliy
503;2020-05-11 22:29:35.866411;anatoliy
504;2020-05-11 22:29:40.070073;anatoliy
505;2020-05-11 22:29:43.103341;anatoliy
506;2020-05-11 22:29:48.434251;anatoliy
507;2020-05-11 22:29:51.326968;anatoliy
508;2020-05-11 22:29:56.473486;anatoliy
509;2020-05-11 22:29:58.979657;anatoliy
510;2020-05-11 22:30:03.328345;anatoliy
511;2020-05-11 22:31:22.008602;anatoliy
512;2020-05-11 22:33:32.887032;anatoliy
513;2020-05-11 22:33:35.934896;anatoliy
514;2020-05-11 22:33:40.173871;anatoliy
515;2020-05-11 22:33:54.011518;anatoliy
516;2020-05-11 22:33:58.063777;anatoliy
517;2020-05-11 22:34:02.036621;anatoliy
518;2020-05-11 22:34:07.511514;anatoliy
519;2020-05-11 22:34:13.073151;anatoliy
520;2020-05-11 22:34:17.187165;anatoliy
521;2020-05-11 22:34:23.039689;anatoliy
522;2020-05-11 22:34:29.694051;anatoliy
523;2020-05-11 22:36:59.238607;anatoliy
524;2020-05-11 22:37:05.387777;anatoliy
525;2020-05-11 22:41:42.426341;anatoliy
526;2020-05-11 22:41:47.660074;anatoliy
527;2020-05-11 22:41:49.880769;anatoliy
528;2020-05-11 22:46:32.323089;anatoliy
529;2020-05-11 22:46:35.286356;anatoliy
530;2020-05-11 22:46:38.240721;anatoliy
531;2020-05-11 22:46:41.274872;anatoliy
532;2020-05-11 22:48:02.918394;anatoliy
533;2020-05-11 22:48:10.743621;anatoliy
534;2020-05-11 22:48:18.521062;anatoliy
535;2020-05-11 22:48:21.915249;anatoliy
536;2020-05-11 22:48:26.778171;anatoliy
537;2020-05-11 22:48:29.967692;anatoliy
538;2020-05-11 22:48:40.637414;anatoliy
